source_path,section,corpus_id,type,primary_workbook
web/www/horas/Latin/Sancti,&lectio(4),shared-b0072322bbe4a4005514,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Tempora,&lectio(4),shared-b0072322bbe4a4005514,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Lectio 4,shared-b0072322bbe4a4005514,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-b00d5e10539a7c010d18,prayer,workbooks/by-season/eastertide.md
web/www/horas/Ordinarium/Minor.txt,Oratio{ex Proprio de Tempore},shared-b00d5e10539a7c010d18,prayer,workbooks/by-season/eastertide.md
web/www/horas/Latin/Tempora,&lectio(1),shared-b00ed0a791d050ae7dea,reading,workbooks/by-season/eastertide.md
web/www/horas/Ordinarium/Matutinum.txt,Lectio 1,shared-b00ed0a791d050ae7dea,reading,workbooks/by-season/eastertide.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Responsorium 1,shared-b013c35b353cf45e1f71,matins-responsory,workbooks/by-season/lent-passiontide.md
web/www/horas/Ordinarium/Matutinum.txt,Responsorium 1,shared-b013c35b353cf45e1f71,matins-responsory,workbooks/by-season/lent-passiontide.md
web/www/horas/Latin/Psalterium/Psalmorum/Psalm77.txt,Psalm 77,shared-b01bf6be389e6a10c889,psalm,workbooks/by-type/psalm.md
web/www/horas/Ordinarium/Matutinum.txt,Psalmus 77(1-8) [1],shared-b01bf6be389e6a10c889,psalm,workbooks/by-type/psalm.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-b023270cc61f03faa6a8,prayer,workbooks/by-season/time-after-pentecost.md
